first_line,second_line,rhymes
"A single rose, its petals unfold","A fragrant sigh, a story untold.",no
"A single rose, its petals unfold","A fragrance sweet, a beauty untold.",yes
"A single rose, its petals unfold","{
""line"" ""Unfurling beauty, a story untold.""
} ```",yes
"A single rose, its petals unfold","A crimson glow, a story told.",yes
"A single rose, its petals unfold","A blushing hue, a story untold",yes
"A single rose, its petals unfold","A fragrant scent, a story untold",yes
"A single rose, its petals unfold","Revealing secrets, stories untold.",yes
"A single rose, its petals unfold","A gentle breeze, a story told",yes
"A single rose, its petals unfold",Revealing beauty untold.,yes
"A single rose, its petals unfold","A fragrant scent, a story untold",yes
"A single rose, its petals unfold","A fragrance sweet, a tale untold",yes
"A single rose, its petals unfold","A gentle fragrance, a story untold.",no
"A single rose, its petals unfold","A fragrant story, yet untold",yes
"A single rose, its petals unfold","A fragrant blush, a story to be told.",yes
"A single rose, its petals unfold","Unveiling beauty, a story untold.",no
"A single rose, its petals unfold","A fragrant story, silently told.",no
"A single rose, its petals unfold","A sweet perfume, a tale untold",yes
"A single rose, its petals unfold","A blush of crimson, a story untold",yes
"A single rose, its petals unfold","A crimson blush, a story untold",yes
"A single rose, its petals unfold","A single rose, its petals unfold",yes
"Beneath the oak, a squirrel scurries by",With a flick of tail and a mischievous eye.,yes
"Beneath the oak, a squirrel scurries by","A rustling sound, then silence, high.",yes
"Beneath the oak, a squirrel scurries by","With a flick of its tail, up a branch so high",yes
"Beneath the oak, a squirrel scurries by",And hides its treasure in the sky.,no
"Beneath the oak, a squirrel scurries by",A joyful dance against the sky.,no
"Beneath the oak, a squirrel scurries by",This is the second line of the couplet.,no
"Beneath the oak, a squirrel scurries by","A flash of fur, against the blue sky.",yes
"Beneath the oak, a squirrel scurries by",And sunlight dances in the sky.,no
"Beneath the oak, a squirrel scurries by","With a flick of its tail, it reaches the sky.",no
"Beneath the oak, a squirrel scurries by",And a wise old owl watches from on high.,no
"Beneath the oak, a squirrel scurries by","Acorns drop, and leaves do fly.",yes
"Beneath the oak, a squirrel scurries by","With lightning speed, it leaps so high.",yes
"Beneath the oak, a squirrel scurries by","And hides its treasure, out of sight, nearby.",yes
"Beneath the oak, a squirrel scurries by",A flash of fur against the sky so high.,yes
"Beneath the oak, a squirrel scurries by","A secret he hides, beneath the leaf nearby.",yes
"Beneath the oak, a squirrel scurries by",Ignoring the whispers of the wind so high,yes
"Beneath the oak, a squirrel scurries by","Searching for nuts, reaching for the sky.",yes
"Beneath the oak, a squirrel scurries by","A hidden treasure, for watchful eyes to spy.",yes
"Beneath the oak, a squirrel scurries by","And gathers nuts for winter, he will lie.",yes
"Beneath the oak, a squirrel scurries by",And tosses nuts up to the sky,yes
He saw a carrot and had to grab it,For it seemed to glow with a magical habit.,yes
He saw a carrot and had to grab it,His hunger pangs were rather dramatic.,no
He saw a carrot and had to grab it,"It was so orange, he thought it was abit",yes
He saw a carrot and had to grab it,From the garden where it happily sat.,yes
He saw a carrot and had to grab it,Because its orange hue he found so habit.,yes
He saw a carrot and had to grab it,"Right then and there, he filled his boot with it.",no
He saw a carrot and had to grab it,"and shove it in his pocket, quite a grab it!",yes
He saw a carrot and had to grab it,"His hunger for veggies, a wondrous habit",yes
He saw a carrot and had to grab it,"So he could snack on it, just a bit.",yes
He saw a carrot and had to grab it,"He laughed and ran with joy, so fit.",no
He saw a carrot and had to grab it,"His hunger pangs, a rumbling, vibrant habit.",no
He saw a carrot and had to grab it,"```json
{
""line"" ""With all his might, he wouldn't let it slip it.""
}",no
He saw a carrot and had to grab it,"Right out of the garden, he swiftly did gab it.",yes
He saw a carrot and had to grab it,"It was so orange, just a little bit flabby",yes
He saw a carrot and had to grab it,his hunger was a bottomless rabbit.,no
He saw a carrot and had to grab it,"Into his basket, he swiftly did pat it.",yes
He saw a carrot and had to grab it,It was so orange and oh so fat.,yes
He saw a carrot and had to grab it,The orange vegetable was rather a habit.,yes
He saw a carrot and had to grab it,"And stuffed it in his pocket, quite a grabbit",yes
He saw a carrot and had to grab it,It made his tummy feel rather abit.,no
He saw a wallet and had to grab it,and take it before someone else did get.,no
He saw a wallet and had to grab it,He saw a bag and quickly had it,yes
He saw a wallet and had to grab it,No gentleman would ever act so unfit.,no
He saw a wallet and had to grab it,"It wasn't his, but it looked quite a habit.",yes
He saw a wallet and had to grab it,and run away so quick and fab!,yes
He saw a wallet and had to grab it,"So quick, his heart began to flabbit.",yes
He saw a wallet and had to grab it,"And run as fast as he could, nab it.",yes
He saw a wallet and had to grab it,So he could quickly fill his empty cabinet.,no
He saw a wallet and had to grab it,Before the owner could look back at it,yes
He saw a wallet and had to grab it,He saw a wallet and had to grab it,yes
He saw a wallet and had to grab it,The temptation proved far too fat,yes
He saw a wallet and had to grab it,"He quickly snatched it, a careless bandit",yes
He saw a wallet and had to grab it,"He loved his cat, a fluffy black bat",no
He saw a wallet and had to grab it,His greed took hold and gave him a writ,yes
He saw a wallet and had to grab it,His heart was filled with greed and grit,yes
He saw a wallet and had to grab it,So he could put his plans in a habit.,no
He saw a wallet and had to grab it,He saw a wallet and had to grab it,yes
He saw a wallet and had to grab it,"{
  ""line"" ""He saw a wallet and felt a habit""
} 

```",yes
He saw a wallet and had to grab it,"So quickly, his conscience would stab it.",yes
He saw a wallet and had to grab it,It wouldn't be right to leave it.,yes
The silver moon cast its gentle light,"Upon the world, a peaceful sight.",yes
The silver moon cast its gentle light,And bathed the world in a peaceful sight.,yes
The silver moon cast its gentle light,Upon the sleeping world so bright.,yes
The silver moon cast its gentle light,And bathed the world in shimmering white.,yes
The silver moon cast its gentle light,"and painted the meadows, a breathtaking sight.",yes
The silver moon cast its gentle light,Illuminating the peaceful night.,yes
